element,fixture,total_points
1.0,2.0,0.0
1.0,12.0,0.0
1.0,21.0,0.0
1.0,31.0,0.0
1.0,43.0,0.0
1.0,51.0,0.0
1.0,62.0,0.0
1.0,71.0,0.0
1.0,84.0,0.0
1.0,91.0,0.0
1.0,107.0,0.0
1.0,111.0,0.0
1.0,121.0,0.0
1.0,131.0,0.0
1.0,146.0,0.0
1.0,151.0,0.0
1.0,161.0,0.0
1.0,174.0,0.0
1.0,181.0,0.0
1.0,193.0,0.0
1.0,201.0,0.0
1.0,215.0,0.0
1.0,221.0,0.0
1.0,239.0,0.0
1.0,242.0,0.0
1.0,251.0,0.0
1.0,269.0,0.0
1.0,271.0,0.0
1.0,296.0,0.0
2.0,2.0,0.0
2.0,12.0,0.0
2.0,21.0,0.0
2.0,31.0,0.0
2.0,43.0,0.0
2.0,51.0,0.0
2.0,62.0,0.0
2.0,71.0,0.0
2.0,84.0,0.0
2.0,91.0,0.0
2.0,107.0,0.0
2.0,111.0,0.0
2.0,121.0,0.0
2.0,131.0,0.0
2.0,146.0,0.0
2.0,151.0,0.0
2.0,161.0,0.0
2.0,174.0,0.0
2.0,181.0,0.0
2.0,193.0,0.0
2.0,201.0,0.0
2.0,215.0,0.0
2.0,221.0,0.0
2.0,239.0,1.0
2.0,242.0,1.0
2.0,251.0,0.0
2.0,269.0,1.0
2.0,271.0,0.0
2.0,296.0,0.0
3.0,2.0,0.0
3.0,12.0,0.0
3.0,21.0,0.0
3.0,31.0,0.0
3.0,43.0,0.0
3.0,51.0,0.0
3.0,62.0,0.0
3.0,71.0,0.0
3.0,84.0,0.0
3.0,91.0,4.0
3.0,107.0,0.0
3.0,111.0,0.0
3.0,121.0,0.0
3.0,131.0,0.0
3.0,146.0,0.0
3.0,151.0,0.0
3.0,161.0,0.0
3.0,174.0,0.0
3.0,181.0,0.0
3.0,193.0,0.0
3.0,201.0,0.0
3.0,215.0,0.0
3.0,221.0,0.0
3.0,239.0,1.0
3.0,242.0,0.0
3.0,251.0,1.0
3.0,269.0,0.0
3.0,271.0,0.0
3.0,296.0,0.0
4.0,2.0,0.0
4.0,12.0,0.0
4.0,21.0,7.0
4.0,31.0,4.0
4.0,43.0,3.0
4.0,51.0,1.0
4.0,62.0,1.0
4.0,71.0,0.0
4.0,84.0,0.0
4.0,91.0,6.0
4.0,107.0,1.0
4.0,111.0,-2.0
4.0,121.0,0.0
4.0,131.0,0.0
4.0,146.0,0.0
4.0,151.0,0.0
4.0,161.0,0.0
4.0,174.0,0.0
4.0,181.0,0.0
4.0,193.0,0.0
4.0,201.0,0.0
4.0,215.0,0.0
4.0,221.0,0.0
4.0,239.0,0.0
4.0,242.0,0.0
4.0,251.0,0.0
4.0,269.0,1.0
4.0,271.0,0.0
4.0,296.0,0.0
5.0,2.0,1.0
5.0,12.0,1.0
5.0,21.0,0.0
5.0,31.0,2.0
5.0,43.0,5.0
5.0,51.0,1.0
5.0,62.0,6.0
5.0,71.0,8.0
5.0,84.0,1.0
5.0,91.0,0.0
5.0,107.0,2.0
5.0,111.0,2.0
5.0,121.0,6.0
5.0,131.0,2.0
5.0,146.0,1.0
5.0,151.0,2.0
5.0,161.0,6.0
5.0,174.0,10.0
5.0,181.0,1.0
5.0,193.0,1.0
5.0,201.0,17.0
5.0,215.0,2.0
5.0,221.0,-1.0
5.0,239.0,12.0
5.0,242.0,6.0
5.0,251.0,2.0
5.0,269.0,6.0
5.0,271.0,1.0
5.0,296.0,0.0
6.0,2.0,2.0
6.0,12.0,2.0
6.0,21.0,1.0
6.0,31.0,2.0
6.0,43.0,1.0
6.0,51.0,0.0
6.0,62.0,7.0
6.0,71.0,4.0
6.0,84.0,1.0
6.0,91.0,3.0
6.0,107.0,1.0
6.0,111.0,1.0
6.0,121.0,6.0
6.0,131.0,1.0
6.0,146.0,7.0
6.0,151.0,2.0
6.0,161.0,8.0
6.0,174.0,1.0
6.0,181.0,0.0
6.0,193.0,2.0
6.0,201.0,3.0
6.0,215.0,1.0
6.0,221.0,4.0
6.0,239.0,3.0
6.0,242.0,12.0
6.0,251.0,14.0
6.0,269.0,14.0
6.0,271.0,7.0
6.0,296.0,0.0
7.0,2.0,0.0
7.0,12.0,0.0
7.0,21.0,0.0
7.0,31.0,0.0
7.0,41.0,0.0
7.0,56.0,0.0
7.0,65.0,0.0
7.0,74.0,0.0
7.0,87.0,0.0
7.0,96.0,0.0
7.0,102.0,0.0
7.0,116.0,0.0
7.0,125.0,0.0
7.0,140.0,0.0
7.0,143.0,0.0
7.0,153.0,0.0
7.0,167.0,0.0
7.0,172.0,0.0
7.0,186.0,0.0
7.0,192.0,0.0
7.0,201.0,0.0
7.0,212.0,0.0
7.0,224.0,0.0
7.0,232.0,0.0
7.0,243.0,0.0
7.0,256.0,0.0
7.0,270.0,0.0
7.0,276.0,0.0
7.0,298.0,0.0
8.0,2.0,0.0
8.0,12.0,0.0
8.0,21.0,1.0
8.0,31.0,6.0
8.0,43.0,1.0
8.0,51.0,2.0
8.0,62.0,5.0
8.0,71.0,1.0
8.0,84.0,2.0
8.0,91.0,0.0
8.0,107.0,0.0
8.0,111.0,0.0
8.0,121.0,2.0
8.0,131.0,2.0
8.0,146.0,11.0
8.0,151.0,2.0
8.0,161.0,9.0
8.0,174.0,2.0
8.0,181.0,1.0
8.0,193.0,1.0
8.0,201.0,5.0
8.0,215.0,10.0
8.0,221.0,0.0
8.0,239.0,0.0
8.0,242.0,0.0
8.0,251.0,0.0
8.0,269.0,1.0
8.0,271.0,1.0
8.0,296.0,0.0
9.0,2.0,0.0
9.0,12.0,1.0
9.0,21.0,1.0
9.0,31.0,1.0
9.0,43.0,0.0
9.0,51.0,1.0
9.0,62.0,1.0
9.0,71.0,2.0
9.0,84.0,2.0
9.0,91.0,0.0
9.0,107.0,2.0
9.0,111.0,2.0
9.0,121.0,1.0
9.0,131.0,1.0
9.0,146.0,0.0
9.0,151.0,0.0
9.0,161.0,0.0
