id,team_a,team_h,team_a_score,team_h_score,team_a_difficulty,team_h_difficulty
1,13,6,3.0,0.0,2,5
2,16,1,1.0,2.0,5,2
3,19,3,1.0,1.0,2,2
4,12,5,1.0,4.0,3,2
5,10,9,1.0,0.0,2,2
7,8,17,1.0,0.0,2,2
6,2,15,1.0,5.0,4,3
8,18,4,2.0,2.0,2,3
9,11,7,1.0,1.0,3,4
10,20,14,0.0,1.0,4,2
17,17,16,1.0,2.0,2,2
13,4,10,3.0,0.0,3,2
14,3,11,1.0,3.0,5,2
20,5,20,4.0,1.0,2,2
18,14,18,0.0,2.0,4,3
16,15,13,0.0,1.0,5,3
11,9,2,0.0,4.0,4,2
19,7,19,1.0,3.0,3,3
12,1,8,1.0,0.0,2,5
26,12,7,0.0,3.0,3,2
22,18,3,2.0,0.0,2,3
21,10,1,2.0,2.0,5,2
23,8,4,1.0,1.0,2,2
27,20,9,1.0,0.0,2,2
28,16,14,2.0,3.0,4,2
24,19,5,3.0,1.0,3,2
25,2,6,3.0,1.0,2,3
30,13,17,2.0,1.0,2,5
29,11,15,2.0,1.0,4,4
38,19,12,2.0,1.0,2,2
40,9,17,2.0,2.0,2,2
32,3,4,2.0,2.0,2,2
34,18,6,5.0,2.0,2,3
35,16,7,1.0,0.0,3,2
39,10,13,1.0,5.0,5,2
33,15,5,1.0,3.0,3,3
36,20,8,2.0,3.0,2,2
37,2,11,0.0,3.0,5,3
31,14,1,1.0,3.0,5,3
50,11,20,3.0,1.0,2,4
41,8,2,1.0,3.0,4,2
44,12,10,0.0,1.0,3,2
45,5,14,3.0,1.0,4,2
48,17,18,1.0,2.0,4,2
49,13,19,3.0,1.0,3,5
46,4,15,0.0,1.0,4,2
42,7,3,0.0,0.0,2,3
43,1,9,1.0,0.0,2,5
47,6,16,1.0,1.0,2,2
56,10,8,0.0,0.0,2,2
58,20,12,1.0,1.0,2,2
59,16,13,0.0,2.0,5,2
52,9,4,3.0,1.0,2,2
54,14,6,1.0,0.0,2,3
51,18,1,2.0,2.0,5,3
53,3,5,1.0,3.0,3,2
55,2,7,1.0,0.0,3,3
57,19,11,1.0,3.0,5,2
60,15,17,8.0,0.0,2,3
61,5,2,1.0,6.0,4,2
62,1,3,4.0,0.0,2,5
63,12,9,2.0,1.0,2,2
65,8,14,1.0,0.0,4,2
66,6,15,0.0,2.0,4,2
69,17,19,0.0,2.0,3,2
70,13,20,1.0,2.0,2,5
68,11,18,1.0,2.0,4,4
67,4,16,1.0,1.0,2,2
64,7,10,2.0,0.0,3,3
15,6,12,2.0,1.0,2,2
77,18,12,1.0,0.0,2,3
73,7,6,4.0,1.0,2,3
75,3,9,0.0,3.0,2,2
76,17,10,1.0,3.0,3,2
78,4,14,1.0,2.0,4,2
74,16,8,0.0,0.0,2,2
72,11,5,2.0,2.0,3,4
79,15,19,2.0,2.0,3,3
80,2,20,1.0,1.0,2,3
71,13,1,0.0,1.0,5,5
85,9,11,0.0,2.0,5,2
82,20,3,2.0,1.0,2,2
83,6,4,0.0,3.0,2,2
86,5,13,1.0,2.0,5,2
87,8,15,0.0,4.0,4,2
88,12,16,2.0,2.0,2,2
84,1,7,2.0,2.0,3,5
89,14,17,2.0,1.0,2,3
81,19,2,1.0,4.0,4,2
90,10,18,0.0,2.0,4,2
96,18,8,2.0,1.0,2,3
95,4,7,2.0,0.0,3,2
91,17,1,0.0,5.0,5,2
93,6,3,1.0,2.0,2,2
100,15,20,2.0,2.0,2,3
99,9,19,1.0,0.0,3,2
92,12,2,1.0,3.0,4,2
94,10,5,1.0,1.0,3,2
97,16,11,0.0,3.0,5,2
98,13,14,3.0,0.0,4,5
104,14,10,1.0,0.0,3,3
101,19,4,2.0,3.0,2,2
102,8,6,2.0,0.0,2,2
103,5,9,1.0,1.0,2,2
106,3,13,1.0,6.0,5,2
109,20,17,1.0,2.0,2,2
107,1,15,0.0,1.0,4,5
108,2,16,0.0,2.0,2,3
105,11,12,1.0,1.0,2,4
110,7,18,4.0,1.0,4,3
120,18,20,1.0,2.0,2,3
111,6,1,1.0,3.0,5,2
116,9,8,3.0,2.0,2,2
118,12,14,0.0,1.0,4,2
113,15,3,0.0,2.0,2,3
112,10,2,1.0,3.0,4,2
114,17,5,1.0,1.0,3,2
117,4,11,0.0,3.0,5,2
119,16,19,2.0,3.0,3,2
115,13,7,4.0,4.0,3,5
126,11,13,1.0,1.0,5,4
122,19,6,2.0,1.0,2,2
125,8,12,1.0,2.0,2,2
127,7,15,1.0,4.0,4,3
128,5,16,3.0,2.0,2,2
129,3,17,3.0,1.0,2,2
121,1,4,1.0,0.0,2,5
130,2,18,2.0,1.0,4,3
123,14,9,3.0,0.0,2,3
124,20,10,2.0,3.0,3,2
131,20,1,1.0,2.0,5,2
133,12,4,1.0,3.0,2,2
134,17,6,0.0,5.0,2,2
139,9,16,1.0,0.0,2,2
138,14,15,0.0,1.0,4,3
132,2,3,2.0,2.0,2,3
135,5,7,2.0,3.0,3,2
136,10,11,3.0,4.0,5,2
140,8,19,1.0,1.0,3,2
137,18,13,3.0,3.0,5,3
149,6,20,0.0,1.0,2,2
146,1,12,4.0,3.0,2,5
142,4,5,1.0,2.0,3,2
143,3,8,2.0,0.0,2,2
145,16,10,0.0,5.0,3,2
147,11,17,2.0,0.0,2,4
141,13,2,0.0,1.0,4,5
150,7,14,1.0,2.0,4,3
144,15,9,0.0,3.0,2,3
148,19,18,2.0,1.0,4,2
153,11,8,2.0,1.0,2,4
152,6,5,1.0,1.0,3,2
157,3,14,3.0,0.0,4,2
158,4,17,0.0,1.0,2,2
160,16,20,1.0,1.0,2,2
151,1,2,0.0,1.0,4,5
154,7,9,0.0,2.0,2,3
155,19,10,0.0,5.0,3,2
156,13,12,2.0,1.0,2,5
159,15,18,1.0,4.0,4,3
169,18,16,2.0,0.0,2,3
165,17,7,0.0,2.0,3,2
167,8,13,2.0,2.0,5,2
168,10,15,0.0,3.0,4,2
164,9,6,2.0,0.0,2,2
161,5,1,0.0,2.0,5,2
163,2,4,2.0,1.0,2,3
