,second_name,first_name,id,team,element_type,total_points,points_per_game,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,selected_by_percent,special,squad_number,status,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
1,Ramsdale,Aaron,17,1,1,20,3.3,,,225321,0,0,-5,5,0,0.0,1.8,3,0.8,False,,,45,225321.jpg,5.7,False,,a,3,280595,856,1495630,2678,0.2,4.4,Ramsdale,540,0,0,2,5,0,0,0,0,0,9,0,90,73.2,0.0,0.0,7.3,6,0.00,0.01,0.01,5.81,391,30,704,87,687,81,446,30,,,,,,,0.0,1.5,0.0,0.0,0.97,0.83,389,21,268,21,111,13,62,13,1.0,0.33
2,Rúnarsson,Rúnar Alex,18,1,1,0,0.0,0.0,0.0,115918,0,0,0,0,0,0.0,0.0,0,0.0,False,Contract terminated,2023-08-20T06:33:02.960208Z,40,115918.jpg,0.1,False,,u,3,990,0,11505,20,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,568,64,554,47,517,36,572,64,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,684,42,431,57,579,64,462,66,0.0,0.0
3,Raya Martin,David,113,1,1,87,4.0,100.0,0.0,154561,0,0,0,0,0,0.0,0.0,0,3.5,False,,2024-03-04T01:00:08.802779Z,50,154561.jpg,6.2,False,,a,3,1050639,7769,932414,8944,0.7,17.4,Raya,1980,0,0,9,19,0,1,0,0,0,33,3,378,306.8,0.0,0.0,30.6,22,0.00,0.02,0.02,14.00,194,22,810,93,808,91,319,22,,,,,,,0.0,1.5,0.0,0.0,0.64,0.86,183,8,77,7,48,4,56,11,1.0,0.41
4,Hein,Karl,646,1,1,0,0.0,,,463748,0,0,0,0,0,0.0,1.0,0,0.0,False,,,40,463748.jpg,0.1,False,,a,3,5275,33,4769,43,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,607,78,593,61,556,50,611,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,730,56,472,71,618,78,508,70,0.0,0.0
5,Martínez Romero,Emiliano,49,2,1,86,3.2,100.0,100.0,98980,0,0,3,-3,0,1.7,1.2,0,1.2,False,,2023-11-24T19:00:09.689065Z,53,98980.jpg,13.1,False,,a,7,1472626,14407,1011331,12732,0.2,16.2,Martinez,2430,0,0,6,40,1,0,0,4,0,75,12,506,649.4,20.0,0.0,67.0,27,0.00,0.01,0.01,39.22,31,11,406,3,817,92,185,11,,,,,,,0.0,2.78,0.0,0.0,1.45,1.48,134,4,232,19,122,14,30,4,1.0,0.22
6,Olsen,Robin,53,2,1,2,2.0,100.0,100.0,111782,0,0,-1,1,0,0.5,0.0,0,0.0,False,,2023-12-29T16:00:09.710707Z,39,111782.jpg,0.6,False,,a,7,28455,83,60375,235,0.0,0.5,Olsen,90,0,0,0,1,0,0,0,0,0,1,0,12,12.0,0.0,0.0,1.2,1,0.00,0.00,0.00,0.73,473,36,520,23,480,12,501,36,,,,,,,0.0,1.0,0.0,0.0,0.73,1.0,791,73,392,33,293,31,238,31,1.0,0.0
7,Sinisalo,Viljami,57,2,1,0,0.0,0.0,0.0,248164,0,0,0,0,0,0.0,0.0,0,0.0,False,Joined Exeter City on a season-long loan,2023-07-20T08:38:58.947431Z,40,248164.jpg,0.0,False,,u,7,0,0,389,1,0.0,0.0,Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,590,71,576,54,539,43,594,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,711,49,455,64,601,71,778,91,0.0,0.0
8,Marschall,Filip,670,2,1,0,0.0,0.0,0.0,462381,0,0,0,0,0,0.0,0.0,0,0.0,False,Joined Milton Keynes Dons on a season-long loan,2024-01-22T11:44:07.815159Z,40,462381.jpg,0.0,False,,u,7,3154,0,2815,20,0.0,0.0,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,605,77,591,60,554,49,609,77,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,728,55,470,70,616,77,599,77,0.0,0.0
9,Zych,Oliwier,686,2,1,0,0.0,0.0,0.0,516159,0,0,0,0,0,0.0,0.0,0,0.0,False,On loan to Puszcza Niepolomice,2023-09-11T14:12:20.141802Z,40,516159.jpg,0.0,False,,u,7,6697,0,6075,17,0.0,0.0,Zych,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,629,85,615,68,580,57,633,85,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,757,63,496,78,640,85,525,72,0.0,0.0
10,Proctor,Sam,765,2,1,0,0.0,,,564505,0,0,0,0,0,0.5,0.0,0,0.0,False,,,40,564505.jpg,0.0,False,,a,7,815,19,440,26,0.0,0.0,Proctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,643,88,629,71,594,60,647,88,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,771,66,510,81,654,88,704,82,0.0,0.0
